round_number,first_prize_numbers,bonus_numbers,draw_date,created_at,updated_at
246,3조176069,562760,2025-06-03,2025-06-03 09:02:19,2025-06-03 09:02:19
247,2조490590,523374,2025-06-03,2025-06-03 09:02:20,2025-06-03 09:02:20
248,2조024992,888928,2025-06-03,2025-06-03 09:02:21,2025-06-03 09:02:21
249,1조090785,295846,2025-06-03,2025-06-03 09:02:23,2025-06-03 09:02:23
250,3조437950,492591,2025-06-03,2025-06-03 09:02:24,2025-06-03 09:02:24
251,4조346196,305190,2025-06-03,2025-06-03 09:02:25,2025-06-03 09:02:25
252,4조002228,615847,2025-06-03,2025-06-03 09:02:26,2025-06-03 09:02:26
253,4조484010,921069,2025-06-03,2025-06-03 09:02:27,2025-06-03 09:02:27
254,5조045083,829316,2025-06-03,2025-06-03 09:02:29,2025-06-03 09:02:29
255,4조941271,891569,2025-06-03,2025-06-03 09:02:30,2025-06-03 09:02:30
256,5조584766,812700,2025-06-03,2025-06-03 09:02:31,2025-06-03 09:02:31
257,3조566239,188189,2025-06-03,2025-06-03 09:02:32,2025-06-03 09:02:32
258,1조265256,581267,2025-06-03,2025-06-03 09:02:33,2025-06-03 09:02:33
259,3조707288,215109,2025-06-03,2025-06-03 09:02:34,2025-06-03 09:02:34
260,1조235108,595288,2025-06-03,2025-06-03 09:02:36,2025-06-03 09:02:36
261,1조844061,915574,2025-06-03,2025-06-03 09:02:37,2025-06-03 09:02:37
262,3조564583,074356,2025-06-03,2025-06-03 09:02:38,2025-06-03 09:02:38
263,5조162265,213377,2025-06-03,2025-06-03 09:02:39,2025-06-03 09:02:39
264,2조063053,250143,2025-06-03,2025-06-03 09:02:41,2025-06-03 09:02:41
265,5조802320,036379,2025-06-03,2025-06-03 09:02:42,2025-06-03 09:02:42
